Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
287,India,7,Delhi,82,North West,2021,Criminal,31273,34261,16606,8093,1097,17,0,91347,89112,428,326,1481,57943,10943,17524,4889,4319,5359,1509,5443,55127
288,India,7,Delhi,82,North West,2021,Total,40657,42747,20066,10610,1256,20,0,115356,108172,922,424,5837,60247,23538,25527,5912,5427,6017,3967,8686,68243
289,India,7,Delhi,83,South,2021,Civil,,,,,,,,,,,,,,,,,,,,,
290,India,7,Delhi,83,South,2021,Criminal,,,,,,,,,,,,,,,,,,,,,
291,India,7,Delhi,83,South,2021,Total,,,,,,,,,,,,,,,,,,,,,
292,India,7,Delhi,84,South West,2021,Civil,9171,6240,2682,1161,63,0,0,19317,15197,230,59,3830,5639,2713,10150,749,1202,928,2135,2465,9502
293,India,7,Delhi,84,South West,2021,Criminal,64136,64079,14141,3505,454,6,0,146321,139796,695,4378,1452,108216,801,32919,4368,8657,6198,1195,4438,74085
294,India,7,Delhi,84,South West,2021,Total,73307,70319,16823,4666,517,6,0,165638,154993,925,4437,5282,113855,3514,43069,5117,9859,7126,3330,6903,83587
295,India,7,Delhi,85,West,2021,Civil,10421,7635,3841,2741,445,29,8,25120,19902,607,106,4497,1573,12386,10159,956,1220,977,3247,4055,13337
296,India,7,Delhi,85,West,2021,Criminal,23428,23998,11759,6550,538,8,0,66281,59727,723,4263,844,34981,6744,18955,4610,3860,3724,1609,6516,38830
297,India,7,Delhi,85,West,2021,Total,33849,31633,15600,9291,983,37,8,91401,79629,1330,4369,5341,36554,19130,29114,5566,5080,4701,4856,10571,52167
298,India,7,Delhi,670,South East,2021,Civil,,,,,,,,,,,,,,,,,,,,,
299,India,7,Delhi,670,South East,2021,Criminal,,,,,,,,,,,,,,,,,,,,,
300,India,7,Delhi,670,South East,2021,Total,,,,,,,,,,,,,,,,,,,,,
301,India,7,Delhi,671,Shahdara,2021,Civil,,,,,,,,,,,,,,,,,,,,,
302,India,7,Delhi,671,Shahdara,2021,Criminal,,,,,,,,,,,,,,,,,,,,,
303,India,7,Delhi,671,Shahdara,2021,Total,,,,,,,,,,,,,,,,,,,,,
304,India,7,Delhi,999999,Unknown Districts Of India,2021,Civil,35198,25706,11618,4803,241,5,0,77571,62677,1349,66,13479,3992,10570,59652,3178,4908,4168,7076,11487,38176
752,India,11,Sikkim,228,West District,2021,Criminal,66,0,0,0,0,0,0,66,66,0,0,0,5,5,54,2,29,27,0,0,0
305,India,7,Delhi,999999,Unknown Districts Of India,2021,Criminal,92834,126150,41103,20724,1895,43,0,282749,265616,3177,8485,5419,186143,4552,78597,13311,12639,12650,5681,22935,166729
306,India,7,Delhi,999999,Unknown Districts Of India,2021,Total,128032,151856,52721,25527,2136,48,0,360320,328293,4526,8551,18898,190135,15122,138249,16489,17547,16818,12757,34422,204905
307,India,8,Rajasthan,86,Ajmer,2021,Civil,9936,8653,5350,6070,1389,84,19,31501,18727,1923,5132,5719,9051,9831,10428,1949,800,981,4708,4687,18314
308,India,8,Rajasthan,86,Ajmer,2021,Criminal,19672,22783,12088,8984,1193,29,3,64752,57013,2830,4909,0,19707,13898,25516,5597,3610,3679,1754,3056,35283
309,India,8,Rajasthan,86,Ajmer,2021,Total,29608,31436,17438,15054,2582,113,22,96253,75740,4753,10041,5719,28758,23729,35944,7546,4410,4660,6462,7743,53597
310,India,8,Rajasthan,87,Alwar,2021,Civil,13409,12307,8111,9418,1982,105,12,45344,25655,2065,8034,9590,22948,7563,12848,1355,1180,1280,6068,5931,14065
311,India,8,Rajasthan,87,Alwar,2021,Criminal,24595,25158,17154,15529,3393,62,0,85891,71766,3313,10795,0,33322,5050,38524,7527,3774,4179,1847,5190,27253
312,India,8,Rajasthan,87,Alwar,2021,Total,38004,37465,25265,24947,5375,167,12,131235,97421,5378,18829,9590,56270,12613,51372,8882,4954,5459,7915,11121,41318
